id,latent_0,latent_1,latent_2,latent_3,latent_4
4z7cndHOw9AHl8p0g1w8pp,0.89277554,-0.7302496,0.024227122,0.36349323,0.64615506
0ZHlkdoO65S0xzwaUU1uDS,0.8393847,0.8810345,0.84620774,0.064238995,0.7326735
1KUEZAhpvuBfGm7zzRXRCs,-0.04083219,0.43708858,-1.7917466,-0.8150803,0.3688578
3fc7X8RI03WzhQIQxhDtfh,-0.9735486,-0.6980171,0.006226188,-0.355508,1.6086069
4mt9DL426qBdPZDSVgU5KQ,-1.3898293,1.495085,-1.68656,-0.12222791,-0.029206919
2wMugYVfdpmYUykMVNIhSf,0.9790863,0.14476302,0.95828617,0.09613701,-2.5327299
0PG9fbaaHFHfre2gUVo7AN,-0.6908262,-0.37889123,0.6918333,-0.09592876,-1.6019409
5KxMtkdx2tBBsFVVgtQl8R,-1.7562966,0.68275154,-0.26655334,2.8691652,0.23467499
1gi65cLj9jXpaEJ3z3vaqY,0.10804377,1.108973,-0.25429586,0.75352776,0.74820954
1dzMV3NHumGKZ4W5PZHMJM,2.5000362,-0.69050896,0.6217882,-0.9538727,0.57623327
0Du3IX8sCUsQFbHIt524N4,-1.1875547,-1.0490688,1.7489574,-0.90734726,-0.06859814
0DBO0VzSDAFwrJRBOH36JA,0.8300679,-1.7896504,0.6808826,-0.0057487423,-0.16502093
2BvszUIXINYNva0NQIQQdU,0.5022725,0.51705205,1.2177587,0.4809127,-0.2982515
2Fm5cm7dStewlUOXeZakG8,-0.50156206,0.89466685,-0.65369385,-0.37103197,-0.2461997
2ddaZSf5ng8e2B7HsHLVgn,1.2245713,-0.5090739,0.29962322,0.6549059,0.5334868
3niLZrwR2Es6ir0OWYq4sV,0.1784857,-0.74049765,0.41177535,-0.49101633,-1.7780335
2ISd224X8azlJVHkNRgOkZ,-1.916285,1.3027136,1.676893,0.13512895,-0.23379257
4fxWqvOMmQYZ2MjMhObrId,-1.6539375,1.5042577,-1.4208187,-1.7315018,1.1100873
3ZSmjE0fHwhe8FFl3IlmmP,0.70569986,-0.5679441,0.65220237,1.3129307,1.2588284
5lnsK9QWbuEHNgTBdvoDRq,-0.44018283,2.5542698,-0.5196834,0.3774219,-0.20120847
7MP5a9Cl3wje7lSim4y4AT,-2.0112107,0.2273979,-1.2475121,1.3551244,0.21796718
